Term	df	offset
scacchi	1	25882
scale	55	25883
scandal	1	25938
scapegoat	1	25939
scar	1	25940
scare	4	25941
scarecrow	1	25945
scarfac	2	25946
scari	4	25948
scatter	2	25952
scenario	2	25954
scene	64	25956
sceneri	3	26020
schaefer	1	26023
schedul	1	26024
scheme	2	26025
schiller	1	26027
schizoid	1	26028
schlesing	1	26029
schlock	3	26030
schmoe	1	26033
schnook	1	26034
school	15	26035
schoolmast	1	26050
schtick	1	26051
schumach	1	26052
schwartz	1	26053
schwarzenegg	3	26054
sci	1	26057
scienc	12	26058
scientif	3	26070
scientist	4	26073
scis	1	26077
scissor	1	26078
scof	1	26079
scope	3	26080
score	9	26083
scott	1	26092
scoundrel	1	26093
scrappi	1	26094
scratch	1	26095
scream	3	26096
screen	21	26099
screenplay	13	26120
screenwrit	15	26133
screw	7	26148
screwbal	1	26155
script	30	26156
scripter	1	26186
scriptwrit	3	26187
sdcrdcf}!ucla	2	26190
sdcsvax	1	26192
sdd	1	26193
sdi	1	26194
seam	1	26195
seamless	2	26196
sean	7	26198
sear	1	26205
search	4	26206
season	2	26210
seat	5	26212
seatbelt	1	26217
seattl	18	26218
seaweedhead	1	26236
sebastian	1	26237
second	22	26238
secondarili	1	26260
secret	8	26261
section	1	26269
secur	2	26270
seduc	3	26272
seductress	1	26275
see	68	26276
seedi	2	26344
seek	2	26346
seem	62	26348
seen	50	26410
segment	2	26460
seismo	3	26462
seismo!rlgvax!jsf	4	26465
seismo!sundc!eli!oz	1	26469
seismo!sundc!oz	1	26470
seismo}!mcnc!briarpatch!billi	2	26471
seiz	1	26473
select	3	26474
self	14	26477
selfish	3	26491
sell	9	26494
selleck	2	26503
seller	1	26505
sellerss	1	26506
semben	1	26507
semblanc	1	26508
semi	4	26509
send	4	26513
seneg	1	26517
senegales	1	26518
senior	1	26519
sens	27	26520
sensat	1	26547
senseless	2	26548
sensibl	1	26550
sensit	3	26551
sent	5	26554
sentenc	3	26559
sentiment	6	26562
sentinel	1	26568
separ	4	26569
sepia	2	26573
sequel	8	26575
sequenc	17	26583
seresin	1	26600
sergeant	3	26601
sergio	2	26604
seri	17	26606
serial	1	26623
series...not	1	26624
serious	20	26625
serl	1	26645
sermon	2	26646
serv	3	26648
servant	3	26651
servic	9	26654
session	1	26663
set	39	26664
seth	1	26703
settl	2	26704
seven	6	26706
seventi	2	26712
sever	33	26714
sewer	1	26747
sex	6	26748
sexi	4	26754
sexual	7	26758
sf	2	26765
shack	2	26767
shadow	1	26769
shaggi	1	26770
shake	2	26771
shaki	2	26773
shallow	3	26775
shame	2	26778
shape	2	26780
shapiro	1	26782
share	7	26783
sharp	1	26790
shatter	1	26791
shaver	1	26792
shaw	1	26793
shawn	2	26794
she	34	26796
sheen	3	26830
sheer	1	26833
sheet	1	26834
shelter	1	26835
sheriff	2	26836
sherlock	2	26838
sherman	2	26840
shes	3	26842
shi	1	26845
shift	2	26846
shin	1	26848
shine	3	26849
ship	5	26852
shipment	1	26857
shirley	2	26858
shirt	1	26860
shit	1	26861
shock	2	26862
shoe	1	26864
shogun	2	26865
shoot	9	26867
shooter	1	26876
shootout	1	26877
shop	5	26878
shopkeep	1	26883
shopper	1	26884
shore	1	26885
short	17	26886
shorter	3	26903
shot	17	26906
shotgun	2	26923
should	36	26925
shoulder	2	26961
shouldnt	3	26963
shout	2	26966
show	49	26968
showcas	1	27017
shown	6	27018
shred	1	27024
shrill	3	27025
shrink	1	27028
shroud	1	27029
shrug	1	27030
shuck	1	27031
shue	1	27032
shuffl	2	27033
shut	2	27035
siam	1	27037
sick	3	27038
sicken	1	27041
sid	2	27042
side	12	27044
sidekick	1	27056
sidenot	1	27057
sideshow	1	27058
sieg	1	27059
sifakiss	1	27060
siff	1	27061
sigh	1	27062
sight	5	27063
sign	7	27068
signatur	1	27075
sigourney	1	27076
silenc	1	27077
silent	2	27078
silhouett	1	27080
sill	1	27081
silli	5	27082
silliest	2	27087
silver	4	27089
similar	13	27093
simon	2	27106
simpl	10	27108
simpli	10	27118
simplist	2	27128
simultan	4	27130
sin	4	27134
sinc	30	27138
sincer	2	27168
sing	6	27170
singer	2	27176
singl	5	27178
sinist	1	27183
sink	1	27184
sir	3	27185
sis	1	27188
siskel	5	27189
sister	7	27194
sit	7	27201
site	2	27208
sitter	1	27210
situat	16	27211
six	12	27227
sixteen	1	27239
sixth	1	27240
sixti	1	27241
size	4	27242
skate	1	27246
skelet	1	27247
skeleton	2	27248
skeptic	1	27250
sketch	3	27251
ski	1	27254
skill	14	27255
skin	1	27269
skip	2	27270
skit	2	27272
skran	1	27274
sky	3	27275
slang	2	27278
slapdash	1	27280
slapstick	8	27281
slasher	3	27289
slaughter	1	27292
slave	2	27293
slavo	1	27295
sleaz	1	27296
sleazi	1	27297
sleep	3	27298
sleev	1	27301
slesin	1	27302
slg@ukma.bitnet	1	27303
sli	1	27304
slice	4	27305
slight	4	27309
slightest	1	27313
slime	1	27314
slimi	2	27315
slip	1	27317
slipper	1	27318
slipshod	1	27319
slop	1	27320
slot	1	27321
slow	8	27322
slowli	6	27330
slug	1	27336
sluggish	1	27337
slum	1	27338
small	26	27339
smaller	1	27365
smallpox	1	27366
smart	3	27367
smartest	1	27370
smash	2	27371
smell	1	27373
smersh	1	27374
smile	6	27375
smirk	2	27381
smith	2	27383
smother	2	27385
smuggl	2	27387
snake	1	27389
snap	2	27390
snappi	2	27392
snapshot	1	27394
snatch	1	27395
sneak	2	27396
snicker	1	27398
snide	1	27399
sniper	3	27400
snoodl	1	27403
snowflak	1	27404
snowplow	1	27405
so	84	27406
soap	1	27490
social	8	27491
socialit	1	27499
societi	5	27500
sociopath	2	27505
sock	1	27507
sod	1	27508
soft	2	27509
softbal	1	27511
soften	1	27512
solar	2	27513
soldier	10	27515
solid	4	27525
solidar	1	27529
solips	1	27530
solut	2	27531
solv	3	27533
som	1	27536
some	80	27537
somebodi	1	27617
someday	2	27618
somehow	7	27620
someon	22	27627
somerset	1	27649
someth	46	27650
sometim	17	27696
somewhat	15	27713
somewher	2	27728
son	13	27730
song	7	27743
sonnenfield	1	27750
soon	14	27751
soonest	1	27765
sophist	2	27766
sordid	1	27768
sore	1	27769
sorri	6	27770
sort	24	27776
soul	7	27800
sound	13	27807
soundtrack	4	27820
soup	1	27824
sour	1	27825
sourc	3	27826
south	6	27829
southeast	1	27835
southern	4	27836
southwestern	1	27840
souvenir	1	27841
soviet	3	27842
sox	1	27845
sp	2	27846
space	9	27848
spacebal	1	27857
spacecraft	2	27858
spacescap	1	27860
spaceship	4	27861
spade	2	27865
spaghetti	2	27867
spald	1	27869
spank	1	27870
spano	1	27871
spare	2	27872
sparkl	1	27874
sparkler	2	27875
spat	1	27877
speak	8	27878
speaker	1	27886
speci	1	27887
special	20	27888
specif	3	27908
spectacular	3	27911
spectrum	1	27914
specul	1	27915
speech	7	27916
speed	2	27923
speeder	1	27925
spell	2	27926
spend	15	27928
spent	6	27943
spetter	1	27949
spi	6	27950
spider	1	27956
spiel	1	27957
spielberg	6	27958
spielburg	1	27964
spike	1	27965
spind	1	27966
spiral	1	27967
spirit	7	27968
spiritu	2	27975
spite	7	27977
splatter	1	27984
splicer	1	27985
split	4	27986
spoil	5	27990
spoiler	6	27995
spoken	3	28001
spong	1	28004
spoof	2	28005
sport	5	28007
sportsman	1	28012
spot	3	28013
spotlight	1	28016
spout	2	28017
sprawl	1	28019
spread	4	28020
spring	2	28024
spurn	1	28026
squar	1	28027
squeaki	1	28028
squeez	1	28029
st	1	28030
stab	1	28031
staccato	1	28032
staci	1	28033
staff	2	28034
stage	5	28036
stagger	1	28041
stagnat	1	28042
stahl	1	28043
staid	1	28044
stake	1	28045
stakeout	1	28046
stale	2	28047
stalk	2	28049
stallion	1	28051
stallon	1	28052
stan	2	28053
stanc	1	28055
stand	13	28056
standard	16	28069
stapl	3	28085
stapleton	1	28088
star	34	28089
stardom	1	28123
stare	1	28124
starship	1	28125
start	30	28126
state	120	28156
statement	7	28276
static	1	28283
station	8	28284
statu	2	28292
statuett	1	28294
statur	2	28295
status	1	28297
stay	5	28298
steadi	1	28303
steal	6	28304
steam	1	28310
steami	1	28311
steamrol	1	28312
steel	1	28313
stefani	1	28314
stelfox	1	28315
step	6	28316
stephen	7	28322
stephen@miro.berkeley.edu	1	28329
stepmoth	1	28330
stereotyp	7	28331
steve	17	28338
steven	6	28355
stick	3	28361
sticki	3	28364
stickler	1	28367
stiff	3	28368
still	29	28371
stilt	3	28400
stimul	1	28403
stingray	1	28404
stir	4	28405
stock	2	28409
stockbrok	1	28411
stockhold	1	28412
stole	1	28413
stolen	2	28414
stomach	1	28416
stone	4	28417
stood	1	28421
stool	1	28422
stop	16	28423
stopov	1	28439
store	4	28440
stori	69	28444
storm	1	28513
storybook	1	28514
storylin	2	28515
storytel	1	28517
straddl	1	28518
straight	6	28519
straighten	2	28525
straightforward	2	28527
strain	3	28529
strand	2	28532
strang	9	28534
strangelov	1	28543
stranger	5	28544
strangest	2	28549
stranglehold	1	28551
strap	1	28552
strategi	1	28553
stratospher	1	28554
straw	1	28555
stray	1	28556
streak	1	28557
stream	2	28558
streep	1	28560
street	12	28561
strength	6	28573
stress	2	28579
stretch	2	28581
strict	2	28583
strike	4	28585
string	6	28589
stripe	2	28595
strive	1	28597
strobe	1	28598
stroke	2	28599
strong	12	28601
stronger	2	28613
strongest	1	28615
struck	1	28616
structur	5	28617
struggl	5	28622
strummer	1	28627
stuart	3	28628
stuck	1	28631
student	2	28632
studi	3	28634
studio	5	28637
stuf	1	28642
stuff	11	28643
stuffi	2	28654
stumbl	3	28656
stun	1	28659
stunt	5	28660
stunts/speci	1	28665
stupefi	1	28666
stupid	17	28667
sturdi	1	28684
sturg	1	28685
style	15	28686
stylish	2	28701
stylist	2	28703
suav	1	28705
sub	6	28706
subconsci	1	28712
subdu	1	28713
subitl	1	28714
subject	7	28715
sublimin	1	28722
submarin	1	28723
subplot	4	28724
subsequ	1	28728
subservi	1	28729
substanc	1	28730
substant	1	28731
substitut	2	28732
substrat	1	28734
subtext	1	28735
subtitl	6	28736
subtl	1	28742
subtleti	3	28743
suburb	3	28746
subway	2	28749
succe$	1	28751
succeed	6	28752
success	16	28758
such	25	28774
suck	1	28799
sudden	12	28800
sudest	1	28812
suffer	5	28813
suffic	3	28818
suffici	3	28821
suggest	9	28824
suicid	6	28833
suit	9	28839
suitabl	1	28848
sullivan	1	28849
sultri	1	28850
sum	1	28851
summar	3	28852
summari	3	28855
summer	16	28858
summertim	1	28874
sun	30	28875
sundanc	1	28905
sunday	1	28906
sundc!oz	1	28907
sung	2	28908
sunk	1	28910
sunlight	1	28911
sunni	1	28912
sun}!pixar!good	6	28913
supe	1	28919
super	11	28920
superb	3	28931
supercop	2	28934
superfici	3	28936
supergirl	1	28939
superhero	1	28940
superhuman	1	28941
superior	1	28942
superman	6	28943
supernatur	3	28949
superspi	1	28952
supervis	1	28953
supplement	1	28954
suppli	2	28955
support	14	28957
suppos	14	28971
suprem	1	28985
supris	1	28986
sur	2	28987
sure	20	28989
surf	1	29009
surfac	1	29010
surgic	1	29011
surplus	1	29012
surpris	23	29013
surrealist	1	29036
surrog	1	29037
surround	7	29038
surviv	3	29045
survivalist	1	29048
survivor	1	29049
susan	5	29050
suspect	10	29055
suspend	2	29065
suspens	7	29067
sustain	2	29074
suzann	1	29076
sw	1	29077
swannack	1	29078
swansea	1	29079
swanson	1	29080
sweati	1	29081
sweden	1	29082
sweep	2	29083
sweet	3	29085
swept	2	29088
swim	3	29090
switch	4	29093
swoop	1	29097
swordsman	1	29098
swordsmen	1	29099
sydow	1	29100
syllabl	1	29101
sylvia	1	29102
symbiosi	1	29103
symbol	6	29104
sympath	1	29110
sympathet	6	29111
sympathi	4	29117
symphoni	1	29121
synchron	1	29122
syndic	1	29123
synthet	1	29124
syring	1	29125
system	5	29126
tab	1	29131
tabl	2	29132
tabloid	2	29134
taboo	1	29136
tack	1	29137
tact	1	29138
taggart	1	29139
tai	1	29140
tail	1	29141
tailor	1	29142
taiwan	1	29143
taiwanes	1	29144
takagi	1	29145
take	58	29146
taken	10	29204
takeov	1	29214
takeshi	1	29215
takita	1	29216
tale	7	29217
talent	13	29224
talisman	1	29237
talk	20	29238
tall	4	29258
tampopo	2	29262
tan	1	29264
tangenti	2	29265
tangibl	1	29267
tangier	1	29268
tank	2	29269
tantal	1	29271
tap	1	29272
tape	1	29273
target	2	29274
tarp	1	29276
tarri	1	29277
task	5	29278
tast	4	29283
taught	1	29287
taunt	1	29288
taut	1	29289
taviani	1	29290
tavianni	1	29291
tax	2	29292
taylor	2	29294
teach	6	29296
teacher	4	29302
team	10	29306
tear	7	29316
tech	3	29323
technic	5	29326
techniqu	2	29331
technolog	3	29333
ted	1	29336
teddi	1	29337
tedious	1	29338
teen	4	29339
teenag	6	29343
tektronix	1	29349
telegraph	2	29350
televis	7	29352
tell	35	29359
teller	1	29394
temper	3	29395
templ	1	29398
temporari	1	29399
tempt	1	29400
temptat	2	29401
ten	8	29403
tenant	1	29411
tend	12	29412
tendenc	3	29424
tender	1	29427
tenet	1	29428
tenni	1	29429
tens	3	29430
tension	4	29433
tent	1	29437
tenth	2	29438
teri	1	29440
term	6	29441
termin	6	29447
terrain	1	29453
terrestri	1	29454
terri	2	29455
terribl	4	29457
terrif	3	29461
territori	2	29464
terror	1	29466
test	1	29467
tet	2	29468
tex	1	29470
texa	4	29471
textur	2	29475
tgif	1	29477
thailand	1	29478
than	65	29479
thank	7	29544
that	116	29551
the	40	29667
theater	17	29707
theatr	8	29724
theatric	5	29732
theft	1	29737
their	53	29738
them	47	29791
theme	8	29838
themselv	8	29846
then	43	29854
therapi	1	29897
there	80	29898
therebi	2	29978
therefor	1	29980
these	38	29981
they	90	30019
theyd	1	30109
theyr	9	30110
theyv	4	30119
thick	2	30123
thigh	1	30125
thin	6	30126
thing	40	30132
think	48	30172
thinker	2	30220
third	11	30222
thirteen	1	30233
thirti	6	30234
this	113	30240
thoma	1	30353
thomerson	1	30354
thompson	1	30355
thorough	1	30356
those	31	30357
though	38	30388
thought	28	30426
thread	2	30454
threat	2	30456
threaten	6	30458
three	35	30464
threefold	2	30499
thrill	2	30501
thriller	7	30503
throat	1	30510
throne	1	30511
through	42	30512
throughout	12	30554
throw	8	30566
throwaway	5	30574
throwback	1	30579
thrown	7	30580
thrust	1	30587
thuan	1	30588
thug	2	30589
thumb	4	30591
thunder	2	30595
thunderbal	1	30597
thunderbird	1	30598
thunderstorm	1	30599
thus	7	30600
thwart	1	30607
tick	1	30608
ticket	1	30609
tide	1	30610
tidof	1	30611
tie	6	30612
tight	4	30618
tighten	1	30622
tighter	1	30623
tightrop	1	30624
tijuana	1	30625
tilley	1	30626
tim	2	30627
time	74	30629
timm	1	30703
timothi	3	30704
tin	4	30707
tini	3	30711
tip	1	30714
tire	4	30715
tissu	1	30719
titl	20	30720
to	120	30740
tobey	1	30860
tobi	1	30861
toboggan	1	30862
tod	1	30863
today	6	30864
toddl	1	30870
togeth	15	30871
toho	1	30886
tokyo	1	30887
told	14	30888
toler	3	30902
tom	4	30905
toma	1	30909
tomlin	1	30910
tomorrow	1	30911
ton	1	30912
tone	9	30913
tongu	6	30922
toni	4	30928
tonino	1	30932
tonk	1	30933
tonto	1	30934
too	52	30935
took	9	30987
toothpast	1	30996
top	8	30997
topic	3	31005
torment	1	31008
torn	5	31009
tornado	1	31014
tortur	1	31015
toss	4	31016
total	11	31020
tote	1	31031
toto	1	31032
touch	13	31033
touchston	1	31046
tough	9	31047
tour	1	31056
tow	1	31057
toward	6	31058
towel	1	31064
town	17	31065
towner	2	31082
townsend	2	31084
toxic	2	31086
toy	1	31088
track	7	31089
trade	3	31096
trademark	1	31099
tradit	9	31100
tragedi	4	31109
tragic	5	31113
trail	1	31118
trailer	3	31119
train	7	31122
trait	2	31129
tranc	1	31131
trancer	1	31132
tranq	1	31133
transcend	1	31134
transform	4	31135
transit	2	31139
translat	4	31141
transmiss	1	31145
transmit	1	31146
transmitt	1	31147
transmut	1	31148
transpar	1	31149
transsexu	1	31150
trap	4	31151
trash	3	31155
traumat	1	31158
travel	4	31159
travelogu	1	31163
treacher	1	31164
tread	2	31165
treasur	2	31167
treasuri	2	31169
treat	10	31171
treatment	4	31181
tree	2	31185
trek	1	31187
tremend	1	31188
trend	2	31189
trey	1	31191
tri	39	31192
triag	1	31231
trial	3	31232
triangl	1	31235
tribul	1	31236
tribut	2	31237
trick	2	31239
trigger	1	31241
trilog	2	31242
trim	1	31244
trip	10	31245
tripe	1	31255
triumph	3	31256
trivial	1	31259
trodden	1	31260
trog	1	31261
tromavill	1	31262
trooper	1	31263
trophi	1	31264
troubl	9	31265
troup	1	31274
truck	4	31275
trucker	1	31279
trudg	1	31280
true	17	31281
true/thre	1	31298
truli	10	31299
trust	1	31309
truth	3	31310
trwrb}!cadovax!gryphon!mhnadel	1	31313
tryst	1	31314
tselio	1	31315
tsk	1	31316
tsun	1	31317
tsutomu	1	31318
tub	1	31319
tube	1	31320
tuck	2	31321
tucker	1	31323
tune	1	31324
tunnel	3	31325
turkey	1	31328
turmoil	1	31329
turn	41	31330
turtl	1	31371
tv	22	31372
tvs	1	31394
twain	1	31395
twelv	2	31396
twenti	4	31398
twentieth	2	31402
twice	5	31404
twilight	2	31409
twist	8	31411
two	58	31419
tyke	1	31477
type	10	31478
typewrit	1	31488
typic	5	31489
tyrann	1	31494
tyron	1	31495
tyson	1	31496
u.s.a	2	31497
ucbvax	10	31499
ucbvax!sim!thuan	1	31509
ucbvax}!cbosgd!ukma	1	31510
uchida	1	31511
ucsd	1	31512
ufo	1	31513
ugh	1	31514
ugli	6	31515
ukgs}!slg	1	31521
ultim	8	31522
um	1	31530
un	1	31531
unabl	1	31532
unadulter	1	31533
unarm	1	31534
unattach	1	31535
unattract	1	31536
unavail	1	31537
unavoid	1	31538
unbeliev	4	31539
unbias	1	31543
uncanni	1	31544
unceremoni	1	31545
uncertainti	1	31546
unchang	1	31547
uncl	4	31548
unclear	1	31552
uncomfort	2	31553
unconsci	1	31555
unconsic	1	31556
uncontrol	1	31557
unconvinc	1	31558
uncov	3	31559
uncredit	1	31562
undead	1	31563
undefin	1	31564
undeni	1	31565
under	14	31566
undercov	1	31580
underdog	1	31581
undergo	1	31582
underhand	1	31583
underlin	1	31584
underneath	4	31585
underp	1	31589
undersid	1	31590
underst	4	31591
understand	11	31595
understood	1	31606
underton	1	31607
underworld	1	31608
undiscov	1	31609
undoubt	2	31610
unemploy	1	31612
uner	2	31613
uneven	3	31615
unexcept	1	31618
unexpect	4	31619
unexplain	2	31623
unfair	1	31625
unfaith	1	31626
unfamiliar	3	31627
unfold	2	31630
unforgett	1	31632
unforgiv	1	31633
unfortun	12	31634
uniform	1	31646
uninspir	1	31647
unintent	2	31648
uninterest	2	31650
union	1	31652
uniqu	4	31653
unit	6	31657
univers	5	31663
unix(tm	1	31668
unkil	1	31669
unknown	6	31670
unknown/forgotten	1	31676
unless	120	31677
unlik	9	31797
unlikeliest	1	31806
unload	1	31807
unmatch	1	31808
unnatur	2	31809
unnecessari	2	31811
unnot	3	31813
unorigin	1	31816
unpack	1	31817
unpleas	2	31818
unpreced	1	31820
unpredict	1	31821
unreal	2	31822
unrealist	3	31824
unrecogn	2	31827
unrecov	1	31829
unrel	2	31830
unrequir	1	31832
unrestrain	1	31833
unruli	1	31834
unscrupul	1	31835
unstabl	1	31836
unstopp	2	31837
unsung	1	31839
unsuspect	1	31840
unsympathet	1	31841
until	23	31842
untouch	6	31865
unusu	8	31871
unwil	1	31879
unwritten	1	31880
up	85	31881
up/thumb	1	31966
updat	4	31967
updik	2	31971
upgrad	1	31973
uphold	1	31974
upon	8	31975
upper	2	31983
uproari	2	31985
upsmanship	1	31987
upstat	1	31988
upstil	3	31989
upward	1	31992
uranium	1	31993
urban	1	31994
urg	2	31995
urin	1	31997
url	120	31998
urn	1	32118
us	31	32119
usa	7	32150
usa/itali	1	32157
use	45	32158
useless	1	32203
usenet	1	32204
usual	23	32205
util	1	32228
utter	3	32229
uucp	32	32232
uw	28	32264
uzi	1	32292
va	10	32293
vacant	1	32303
vacat	3	32304
vagrant	1	32307
vagu	6	32308
vain	1	32314
vajna	1	32315
valdez	2	32316
valen	1	32318
valenss	1	32319
valenzuela	1	32320
valid	1	32321
valium	1	32322
valkyri	1	32323
valley	1	32324
valu	11	32325
valuabl	2	32336
vampir	2	32338
van	3	32340
vanessa	2	32343
vanquish	1	32345
vapid	1	32346
vari	1	32347
variat	2	32348
varieti	4	32350
various	10	32354
vase	1	32364
vast	1	32365
vat	1	32366
vaudevill	1	32367
vc	1	32368
veer	1	32369
vegetarian	1	32370
vehicl	6	32371
velcro	1	32377
velvet	2	32378
vendor	2	32380
vener	1	32382
vengeanc	1	32383
venus	1	32384
verbal	1	32385
vergeßt	1	32386
verhoeven	2	32387
veri	69	32389
verif	1	32458
verit	1	32459
vermin	1	32460
versa	1	32461
versatil	1	32462
version	10	32463
vertic	1	32473
vet	1	32474
veteran	1	32475
vhs	1	32476
via	3	32477
vicari	1	32480
vice	3	32481
vichi	1	32484
vicin	1	32485
vicious	2	32486
victim	1	32488
victor	3	32489
victor/victoria	1	32492
victori	1	32493
video	9	32494
videocassett	2	32503
videotap	1	32505
vietnam	6	32506
vietnames	2	32512
view	15	32514
viewer	13	32529
viewpoint	2	32542
vigilant	1	32544
vignett	2	32545
vile	1	32547
villag	9	32548
villain	10	32557
villaini	1	32567
vincent	2	32568
vintag	1	32570
violat	1	32571
violenc	12	32572
violent	5	32584
virgil	1	32589
virgin	1	32590
virtu	4	32591
virtual	2	32595
visa	1	32597
visag	1	32598
visibl	1	32599
vision	4	32600
visit	11	32604
visual	7	32615
vital	2	32622
vittorio	1	32624
vivid	1	32625
vixen	1	32626
vocabulari	1	32627
voic	9	32628
voiceov	1	32637
void	1	32638
volcano	1	32639
volunt	2	32640
voluntarili	1	32642
vomit	3	32643
von	3	32646
voodoo	4	32649
vortex	1	32653
vote	1	32654
voyag	6	32655
vs	3	32661
w/o	1	32664
wach	1	32665
wacki	1	32666
waffl	1	32667
wagner	1	32668
wagon	2	32669
wait	10	32671
waiter	1	32681
wake	3	32682
wale	1	32685
walk	6	32686
wall	6	32692
wallac	1	32698
walli	1	32699
wallpaper	1	32700
walnut	1	32701
walon	1	32702
walsh	1	32703
walter	7	32704
walton	1	32711
wambaugh	1	32712
wander	4	32713
wane	1	32717
wanna	1	32718
want	36	32719
war	22	32755
warehous	1	32777
wargam	2	32778
wari	1	32780
warlock	1	32781
warm	1	32782
warmerdam	1	32783
warmth	1	32784
warn	7	32785
warner	1	32792
warren	4	32793
warrior	6	32797
wartim	1	32803
was	120	32804
wash	2	32924
washington	1	32926
wasnt	11	32927
wast	8	32938
watanabo	1	32946
watch	28	32947
watchabl	1	32975
water	5	32976
waterfront	1	32981
wave	5	32982
wax	2	32987
way	59	32989
wayn	4	33048
wayward	1	33052
we	58	33053
weak	10	33111
weakest	4	33121
weakl	1	33125
wealthi	1	33126
wean	1	33127
weapon	8	33128
wear	5	33136
wearier	1	33141
weather	3	33142
weav	3	33145
weaver	1	33148
webb	1	33149
wed	2	33150
wee	5	33152
weed	1	33157
week	11	33158
weekend	2	33169
weight	2	33171
weir	1	33173
weird	5	33174
weirder	1	33179
weirdo	1	33180
welcom	1	33181
well	64	33182
weller	3	33246
welsh	2	33249
went	14	33251
were	56	33265
werent	2	33321
wertmul	1	33323
wes	2	33324
west	6	33326
western	8	33332
wet	3	33340
weve	4	33343
what	79	33347
whatev	4	33426
whatsoev	1	33430
whazoo	1	33431
wheel	2	33432
wheeler	1	33434
when	1	33435
whenev	5	33436
where	2	33441
wherein	1	33443
wherev	1	33444
whether	8	33445
whey	1	33453
whi	3	33454
which	66	33457
while	47	33523
whim	1	33570
whimper	1	33571
whiner	1	33572
whiney	1	33573
whip	1	33574
whiplash	1	33575
whisper	1	33576
whit	1	33577
white	10	33578
who	18	33588
whod	1	33606
whoever	2	33607
whole	18	33609
whoopi	1	33627
whorehous	1	33628
whos	4	33629
whose	19	33633
wick	3	33652
wide	6	33655
widow	3	33661
wiener	1	33664
wife	17	33665
wild	8	33682
wildest	1	33690
will	53	33691
willi	5	33744
william	9	33749
willing	1	33758
wilson	3	33759
wimp	1	33762
win	6	33763
winc	1	33769
winchel	1	33770
wind	7	33771
window	3	33778
wineri	1	33781
wing	4	33782
winki	1	33786
winner	2	33787
wipe	2	33789
wire	2	33791
wisconsin	1	33793
wisdom	2	33794
wish	14	33796
wit	7	33810
witch	5	33817
witchcraft	1	33822
with	15	33823
withdrawn	1	33838
wither	1	33839
without	32	33840
witti	5	33872
wive	1	33877
wizard	2	33878
woke	1	33880
wolfen	1	33881
wolfgang	1	33882
woman	25	33883
woman/black	1	33908
woman/lon	1	33909
womanhood	1	33910
womb	1	33911
women	16	33912
won	1	33928
wonder	31	33929
wong	1	33960
wont	2	33961
woo	2	33963
wood	3	33965
wooden	4	33968
woodenhead	1	33972
woodi	2	33973
woods%ncar@csnet	1	33975
woods@hao.ucar.edu	1	33976
woods@ncar.csnet	1	33977
woodsman	1	33978
woodward	2	33979
wooki	1	33981
word	19	33982
wordplay	1	34001
wore	2	34002
work	51	34004
workload	1	34055
world	33	34056
worri	6	34089
wors	3	34095
worsen	2	34098
worship	2	34100
worst	9	34102
worth	21	34111
worthi	2	34132
worthwhil	1	34134
would	62	34135
wouldnt	8	34197
wound	2	34205
wrap	1	34207
wreckless	1	34208
wrestl	3	34209
wrestler	1	34212
wretch	1	34213
wri	2	34214
wring	1	34216
writ	1	34217
write	15	34218
writer	12	34233
writer/director	2	34245
writer/produc	1	34247
written	11	34248
wrong	14	34259
wrote	12	34273
ww	1	34285
wyler	1	34286
xxxxxxxx	1	34287
yakusho	1	34288
yamazaki	1	34289
yank	1	34290
yaqui	1	34291
yeah	6	34292
year	50	34298
yearn	1	34348
yee	1	34349
yell	4	34350
yellow	1	34354
yes	10	34355
yet	20	34365
yip	1	34385
yo	1	34386
yock	1	34387
yoda	2	34388
yojira	1	34390
yok	2	34391
yon	1	34393
yoram	1	34394
yore	2	34395
york	8	34397
you	82	34405
youd	6	34487
youll	12	34493
young	25	34505
younger	5	34530
your	45	34535
yourself	7	34580
youth	2	34587
youv	6	34589
yuk	2	34595
yumi	1	34597
yuppi	2	34598
yuya	1	34600
yves	1	34601
zani	1	34602
zealand	1	34603
zefferelli	1	34604
zelig	1	34605
zev	1	34606
zindel	1	34607
zipper	1	34608
zone	2	34609
zoot	2	34611
zuehlk	1	34613
zuela	1	34614
zuiderhock	1	34615
